;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density
0;2,86;0,05;-23,628;7,44;45,01;1,2409070271423144
1;2,66;0,4;-22,677;7,5;45,01;1,2406467215475776
2;1,49;0,0;-19,43;7,68;45,01;1,2398663592737869
3;2,94;0,74;-21,343;7,25;39,38;1,2417319377012228
4;2,02;3,52;-27,661;7,12;2,42;1,242296883830734
5;1,24;0,05;-21,184;7,46;45,0;1,2408202483436779
6;1,3;0,0;-19,98;8,1;45,0;1,2380487500799628
7;1,08;0,0;-22,472;8,15;45,0;1,2378326699385056
8;1,1;0,0;-21,615;8,01;45,0;1,2384378562394924
9;1,06;0,0;-21,018;8,17;45,0;1,2377462558729964
10;0,88;0,0;-20,503;8,32;45,0;1,2370984781158083
11;0,83;0,0;-19,144;7,99;45,0;1,2385243525414222
12;0,72;0,0;-19,011;7,96;45,0;1,2386541162653122
13;1,13;0,0;-22,043;7,8;45,0;1,2393465799677645
14;1,66;0,04;-21,294;7,76;45,0;1,2395197986437945
15;1,84;0,36;-21,244;7,7;45,0;1,2397797037075824
16;2,05;0,5;-22,179;7,7;45,0;1,2397797037075824
17;1,87;0,36;-21,187;7,73;45,0;1,2396497396187673
18;2,16;0,13;-21,119;7,79;45,0;1,2393898807840547
19;1,43;0,0;-20,601;7,89;45,0;1,2389569882124578
20;1,47;0,0;-18,677;7,99;45,0;1,2385243525414222
21;1,51;0,0;-18,742;7,89;45,0;1,2389569882124578
22;2,7;0,8;-22,339;7,8;38,74;1,2393465799677645
23;4,27;6,51;214,613;7,71;1,63;1,2397363797765262
24;4,11;6,48;149,45;7,81;1,51;1,2393032817200371
25;4,68;6,48;223,465;7,75;1,46;1,239563109733828
26;3,36;6,48;25,535;7,69;1,51;1,2398230302066866
27;4,4;6,48;218,439;7,77;1,51;1,2394764901221205
28;4,27;6,48;227,143;7,72;1,51;1,2396930584135704
29;4,36;6,48;261,779;7,73;1,49;1,2396497396187673
30;4,51;6,48;314,344;7,7;1,45;1,2397797037075824
31;4,54;6,48;348,052;7,71;1,41;1,2397363797765262
32;4,5;6,48;352,064;7,72;1,22;1,2396930584135704
33;4,97;6,48;504,376;7,65;0,85;1,2399963618825316
34;5,08;6,48;524,14;7,58;0,8;1,2402997911728189
35;5,02;6,48;457,515;7,64;1,08;1,2400397012210835
36;4,94;6,48;460,455;7,7;1,0;1,2397797037075824
37;5,64;6,48;655,055;7,7;0,33;1,2397797037075824
38;5,15;6,47;486,657;7,7;0,84;1,2397797037075824
39;4,58;6,48;355,722;7,7;1,3;1,2397797037075824
40;5,14;6,48;470,678;7,71;0,94;1,2397363797765262
41;4,57;6,48;353,549;7,71;1,3;1,2397363797765262
42;4,25;6,48;177,493;7,8;1,51;1,2393465799677645
43;3,25;6,48;1,94;7,93;1,51;1,238783903113274
44;3,58;6,48;52,813;7,94;1,51;1,238740638261357
45;3,61;6,48;93,146;7,88;1,51;1,2390002659098929
46;3,4;6,48;11,182;7,93;1,51;1,238783903113274
47;4,64;6,48;283,673;7,87;1,23;1,2390435461762868
48;4,22;6,48;175,532;7,95;1,5;1,2386973759786875
49;3,74;6,48;79,043;7,9;1,51;1,2389137130840302
50;4,04;6,48;168,862;7,92;1,51;1,23882717053439
51;4,39;6,48;269,486;7,9;1,5;1,2389137130840302
52;4,19;6,48;198,263;8,0;1,5;1,2384811031056937
53;4,31;6,48;206,256;7,96;1,51;1,2386541162653122
54;4,44;6,48;278,382;7,91;1,49;1,238870440524658
55;4,92;6,48;415,413;7,94;1,09;1,238740638261357
56;4,96;6,48;393,476;7,94;1,25;1,238740638261357
57;4,6;6,48;387,508;8,06;1,23;1,238221660453008
58;4,82;6,48;422,76;8,08;1,13;1,238135200126705
59;5,11;6,48;485,454;8,08;0,9;1,238135200126705
60;4,57;6,48;293,748;8,1;1,46;1,2380487500799628
61;4,51;6,48;311,663;8,14;1,49;1,2378758808265766
62;4,26;6,48;255,041;8,19;1,51;1,2376598520886168
63;4,45;6,48;330,397;8,15;1,38;1,2378326699385056
64;4,59;6,48;333,866;8,17;1,39;1,2377462558729964
65;4,32;6,48;284,859;8,17;1,4;1,2377462558729964
66;4,6;6,48;332,535;8,18;1,4;1,2377030526956438
67;4,58;6,48;339,516;8,22;1,34;1,2375302656899065
68;4,97;6,48;509,838;8,2;0,87;1,2376166540519569
69;5,51;6,48;633,001;8,19;0,44;1,2376598520886168
70;5,52;6,51;717,333;8,2;0,21;1,2376166540519569
71;5,5;6,48;688,698;8,2;0,26;1,2376166540519569
72;5,27;6,48;647,817;8,21;0,45;1,237573458585706
73;5,83;6,67;925,906;8,2;0,02;1,2376166540519569
74;5,73;6,6;851,928;8,21;0,07;1,237573458585706
75;6,51;7,16;1219,913;8,16;0,0;1,2377894616206309
76;6,0;6,85;1059,441;8,16;0,0;1,2377894616206309
77;5,88;6,65;943,129;8,1;0,0;1,2380487500799628
78;5,92;6,68;971,213;8,11;0,0;1,2380055289115381
79;5,86;6,59;909,541;8,11;0,0;1,2380055289115381
80;5,58;6,49;751,338;8,11;0,13;1,2380055289115381
81;8,25;8,55;2646,217;7,76;0,0;1,2395197986437945
82;9,25;9,46;3541,544;7,32;0,02;1,2414279155129369
