;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed
0;2,86;0,05;-23,628;7,44;45,01;1,23981659578961;2,871484559591996
1;2,66;0,4;-22,677;7,5;45,01;1,2395423891149293;2,670484540038907
2;1,49;0,0;-19,43;7,68;45,01;1,238720263258536;1,4955421335859957
3;2,94;0,74;-21,343;7,25;39,38;1,2406854631883792;2,9524951899523524
4;2,02;3,52;-27,661;7,12;2,42;1,241280432059313;2,0289093470198325
5;1,24;0,05;-21,184;7,46;45,0;1,2397251843883768;1,2449487214421384
6;1,3;0,0;-19,98;8,1;45,0;1,2368048284132014;1,3041625153416831
7;1,08;0,0;-22,472;8,15;45,0;1,2365770648514276;1,083391577578204
8;1,1;0,0;-21,615;8,01;45,0;1,2372149439843267;1,1036440882160174
9;1,06;0,0;-21,018;8,17;45,0;1,2364859750786346;1,0633026606741582
10;0,88;0,0;-20,503;8,32;45,0;1,2358030860547147;0,8825792940842697
11;0,83;0,0;-19,144;7,99;45,0;1,2373061054759127;0,8327700828119827
12;0,72;0,0;-19,011;7,96;45,0;1,2374428645832378;0,7224295780903088
13;1,13;0,0;-22,043;7,8;45,0;1,2381725893084847;1,1340359153261725
14;1,66;0,04;-21,294;7,76;45,0;1,2383551109706603;1,666010722116102
15;1,84;0,36;-21,244;7,7;45,0;1,2386289615489074;1,8467986011417288
16;2,05;0,5;-22,179;7,7;45,0;1,2386289615489074;2,0575745284459472
17;1,87;0,36;-21,187;7,73;45,0;1,2384920260379926;1,8768402786717437
18;2,16;0,13;-21,119;7,79;45,0;1,238218216323657;2,1677412966461307
19;1,43;0,0;-20,601;7,89;45,0;1,2377620480148046;1,434948766726525
20;1,47;0,0;-18,677;7,99;45,0;1,2373061054759127;1,4749060502814635
21;1,51;0,0;-18,742;7,89;45,0;1,2377620480148046;1,515225620809128
22;2,7;0,8;-22,339;7,8;38,74;1,2381725893084847;2,7096433375050144
23;4,27;6,51;214,613;7,71;1,63;1,238583314105659;4,285724539668289
24;4,11;6,48;149,45;7,81;1,51;1,2381269645587896;4,1246286393346105
25;4,68;6,48;223,465;7,75;1,46;1,2384007470563636;4,697003588123799
26;3,36;6,48;25,535;7,69;1,51;1,2386746112662463;3,372456266517436
27;4,4;6,48;218,439;7,77;1,51;1,2383094771538827;4,415877790980911
