;Identifier;Wind Speed;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Power Coefficient;Lower Limit Filter;Bin;Active Power Filter
0;BW 05;0,72;0,0;-19,011;7,96;45,0;1,2374428645832378;0,7224295780903088;-4,53664979342499;False;2,0;True
1;BW 06;1,17;0,0;-10,849;7,18;45,0;1,2410057823603657;1,1750736847162515;-0,6016047509923266;False;3,0;
2;BW 08;1,13;0,0;-3,725;4,5;45,0;1,2533575259899337;1,1386530268882302;-0,22702250523282647;False;3,0;
3;BW 08;1,14;0,0;-5,178;4,48;45,0;1,2534503689541268;1,1487579658499354;-0,30732174323280015;False;3,0;
4;BW 06;1,06;0,0;-19,899;5,22;45,0;1,2500218879151856;1,0671686081798537;-1,4731568077023491;False;3,0;
5;BW 06;1,22;0,0;-20,963;5,04;45,0;1,2508545807334421;1,2285233317339757;-1,017232102312865;False;3,0;
6;BW 07;1,2;0,0;-9,93;5,64;45,02;1,2480820542584803;1,2074901481047828;-0,507475768707524;False;3,0;
7;BW 06;1,15;0,0;-9,334;7,1;45,0;1,2413720005381677;1,1551005552906737;-0,5449106152557888;False;3,0;
8;BW 06;0,95;0,0;-10,412;7,14;45,0;1,241188872874569;0,9541665779111025;-1,0783963480043757;False;3,0;
9;BW 08;1,22;0,0;-3,776;4,46;45,0;1,2535432220711487;1,229402915688679;-0,18283785558365673;False;3,0;
10;BW 06;1,2;0,0;-12,172;7,09;45,0;1,2414177882649984;1,2053371377294573;-0,6253932361102145;False;3,0;
11;BW 09;1,22;0,0;-4,475;5,24;45,01;1,249929416168855;1,2282203744325582;-0,21731064310965773;False;3,0;
12;BW 08;0,97;0,0;-3,82;4,5;45,0;1,2533575259899337;0,9774278195412243;-0,3680663592553028;False;3,0;
13;BW 08;0,86;0,0;-5,025;4,5;45,0;1,2533575259899337;0,8665854894901577;-0,6947341983893406;False;3,0;
14;BW 09;0,95;0,0;-6,27;5,25;45,01;1,249883184013146;0,9563893193645447;-0,6448819751263665;False;3,0;
15;BW 05;1,0;0,0;-9,205;5,81;45,0;1,2472981134594685;1,0060310669734716;-0,813404303438389;False;3,0;
16;BW 09;1,18;0,0;-8,09;5,39;45,01;1,249236193578734;1,1877311971139082;-0,43442106878366604;False;3,0;
17;BW 06;1,01;0,0;-9,052;5,32;45,0;1,2495596282410053;1,0167051091003234;-0,7749548080644634;False;3,0;
18;BW 09;1,15;0,0;-5,475;5,49;45,01;1,2487743536039162;1,1573919776377721;-0,31773098559350144;False;3,0;
19;BW 09;1,16;0,0;-6,438;5,51;45,01;1,2486820151303375;1,1674274798127235;-0,36406429347433955;False;3,0;
20;BW 07;1,16;0,0;-9,425;5,5;45,02;1,2487281831385455;1,1674418675529086;-0,5329573009738323;False;3,0;
21;BW 05;0,91;0,0;-6,751;6,05;45,01;1,2461925691507376;0,9152177095852018;-0,7923402390077142;False;3,0;
22;BW 05;1,03;0,0;-7,775;6,1;45,01;1,2459624227009545;1,0358419850253442;-0,6294144620460203;False;3,0;
23;BW 08;1,16;0,0;-3,756;4,41;45,0;1,2537753993234493;1,1690126418914777;-0,2115362543836366;False;3,0;
24;BW 08;1,04;0,0;-3,781;6,85;45,0;1,2425173934650793;1,0449338594689217;-0,29816531466730944;False;3,0;
25;BW 06;1,14;0,0;-11,418;5,22;45,0;1,2500218879151856;1,1477096352122953;-0,6795333964387127;False;3,0;
26;BW 06;1,17;0,0;-9,23;5,27;45,0;1,2497907271326407;1,177839907230016;-0,5082293668284749;False;3,0;
27;BW 06;1,0;0,0;-9,363;5,24;45,0;1,249929416168855;1,0067380118299658;-0,8256243115341807;False;3,0;
28;BW 06;1,03;0,0;-12,35;5,13;45,0;1,250438133608002;1,0370808102580864;-0,9961987956197378;False;3,0;
29;BW 08;1,24;0,0;-3,713;6,38;45,0;1,2446747123543316;1,2466033156434642;-0,17244752510200909;False;3,0;
30;BW 07;1,12;0,0;-9,274;7,23;45,01;1,2407769713764722;1,124787724342016;-0,5863706680478729;False;3,0;
31;BW 07;0,89;0,0;-9,335;7,33;45,01;1,2403195228690378;0,8936946751058379;-1,1766943309525155;False;3,0;
32;BW 06;1,13;0,0;-20,149;5,09;45,0;1,250623196316533;1,1378243940494968;-1,2306785330767716;False;3,0;
33;BW 07;1,13;0,0;-10,225;7,21;45,01;1,2408684888214416;1,1348583722030094;-0,6294412034849886;False;3,0;
34;BW 06;1,21;0,0;-11,314;7,13;45,0;1,2412346513055996;1,215321845591425;-0,5670992992862951;False;3,0;
35;BW 05;1,08;0,0;-22,472;8,15;45,0;1,2365770648514276;1,083391577578204;-1,5900186225916118;False;3,0;
36;BW 05;1,17;0,0;-6,726;5,78;45,0;1,2474364047661957;1,1770998478889432;-0,3710511670929775;False;3,0;
37;BW 07;1,07;0,0;-9,181;7,4;45,01;1,2399994461552297;1,074349481364034;-0,6661470386155853;False;3,0;
38;BW 07;0,82;0,0;-9,55;5,5;45,02;1,2487281831385455;0,8252606305115389;-1,52878650071335;False;3,0;
39;BW 07;1,05;0,01;-17,669;5,26;45,02;1,2498369543346746;1,0570488465508259;-1,3459956318996937;False;3,0;
40;BW 09;1,22;0,0;-4,33;7,08;45,0;1,2414635783178898;1,225441156571203;-0,21170316939303302;False;3,0;
41;BW 09;1,21;0,0;-5,724;7,11;45,0;1,2413262151365543;1,2153517289519746;-0,2868867729434223;False;3,0;
42;BW 05;1,24;0,05;-21,184;7,46;45,0;1,2397251843883768;1,2449487214421384;-0,987803195872295;False;3,0;
43;BW 07;0,75;0,0;-9,817;5,45;45,02;1,2489590600531413;0,754858068377954;-2,053523780376309;False;3,0;
44;BW 05;1,16;0,0;-6,839;5,89;45,0;1,2469294435931284;1,166881048159846;-0,38728412418775643;False;3,0;
45;BW 05;0,98;0,0;-8,848;5,92;45,0;1,2467912324374357;0,9857768750520027;-0,8310479560212102;False;3,0;
46;BW 05;0,91;0,0;-7,418;5,69;45,0;1,247851410237653;0,915623619992064;-0,8694662251369626;False;3,0;
47;BW 05;1,14;0,0;-7,382;5,58;45,0;1,2483589078057247;1,1472004533803577;-0,4399192443527932;False;3,0;
48;BW 07;1,16;0,0;-9,861;5,38;45,02;1,249282391126024;1,1676145525622579;-0,5573645090671778;False;3,0;
49;BW 05;1,1;0,0;-21,615;8,01;45,0;1,2372149439843267;1,1036440882160174;-1,4467216001767405;False;3,0;
50;BW 05;1,06;0,0;-21,018;8,17;45,0;1,2364859750786346;1,0633026606741582;-1,5730319206399002;False;3,0;
51;BW 08;1,2;0,0;-3,722;6,43;45,0;1,24444496139168;1,206316072842785;-0,19076991026642107;False;3,0;
52;BW 09;1,14;0,0;-5,796;7,13;45,0;1,2412346513055996;1,1450139702266318;-0,34738644636575333;False;3,0;
53;BW 06;1,04;0,0;-9,625;7,14;45,0;1,241188872874569;1,0445613063447858;-0,7598288602771883;False;3,0;
54;BW 05;0,83;0,0;-19,144;7,99;45,0;1,2373061054759127;0,8327700828119827;-2,9824570003238464;False;3,0;
55;BW 05;0,88;0,0;-20,503;8,32;45,0;1,2358030860547147;0,8825792940842697;-2,6833236490250423;False;3,0;
56;BW 06;1,16;0,0;-11,938;7,13;45,0;1,2412346513055996;1,1651019346165727;-0,6791358462802273;False;3,0;
57;BW 05;1,11;0,0;-6,781;5,82;45,01;1,2472520212224574;1,1166807288530423;-0,4381507203316429;False;3,0;
58;BW 07;1,24;0,0;-9,881;5,33;45,02;1,2495134158807768;1,248216627189631;-0,457138562990222;False;3,0;
59;BW 05;1,13;0,0;-22,043;7,8;45,0;1,2381725893084847;1,1340359153261725;-1,3599004680263258;False;3,0;
60;BW 08;1,7;0,0;-3,843;6,4;45,0;1,2445828048189873;1,7090108658666872;-0,06927120816491834;False;4,0;
61;BW 08;1,3;0,0;-3,841;6,55;45,0;1,2438938017687478;1,3066494520228862;-0,15491158049675932;False;4,0;
62;BW 08;1,25;0,0;-5,362;4,76;45,0;1,252151488505183;1,259167796988748;-0,24165335826123632;False;4,0;
63;BW 08;1,67;0,06;-5,307;4,49;45,0;1,2534039462033182;1,682808876394646;-0,10019857725112956;False;4,0;
64;BW 05;1,5;0,0;-6,787;6,05;45,01;1,2461925691507376;1,5086006201953874;-0,17785736470773073;False;4,0;
65;BW 08;1,7;0,0;-4,13;4,44;45,0;1,2536360853472663;1,7131447250270377;-0,07390685830570301;False;4,0;
66;BW 08;1,5;0,01;-5,051;6,41;45,0;1,244536854627284;1,507932205845651;-0,13254054980529573;False;4,0;
67;BW 08;1,61;0,07;-4,778;4,3;45,0;1,2542864132605211;1,622729329573992;-0,10060619820625506;False;4,0;
