;Identifier;Rotor Speed;Active Power;T Outside Nacelle Level;Pitch Angle;Air Density;Corrected Wind Speed;Lower Limit Filter;Active Power Filter;Bin;Negativ Lower Limit;Positiv Lower Limit;Positiv Active Power;Negativ Active Power
0;BW 05;0,0;-19,011;7,96;45,0;1,239822264172857;0,7228923194726035;False;True;2,0;1,0;0,0;1,0;0,0
1;BW 05;0,0;-21,018;8,17;45,0;1,238863598491964;1,0639837614286658;False;True;3,0;1,0;0,0;1,0;0,0
2;BW 07;0,0;-9,861;5,38;45,02;1,251683830894228;1,1683622248037373;False;True;3,0;1,0;0,0;1,0;0,0
3;BW 08;0,0;-3,725;4,5;45,0;1,255766577020504;1,1393820866599;False;True;3,0;1,0;0,0;1,0;0,0
4;BW 09;0,0;-6,438;5,51;45,01;1,2510823345828526;1,168175042771409;False;True;3,0;1,0;0,0;1,0;0,0
5;BW 07;0,0;-9,817;5,45;45,02;1,251359896444519;0,7553414390984341;False;True;3,0;1,0;0,0;1,0;0,0
6;BW 07;0,0;-9,55;5,5;45,02;1,251128588732078;0,825789086128453;False;True;3,0;1,0;0,0;1,0;0,0
7;BW 05;0,0;-20,503;8,32;45,0;1,2381794423933576;0,8831446430535441;False;True;3,0;1,0;0,0;1,0;0,0
8;BW 09;0,0;-5,475;5,49;45,01;1,2511748453446492;1,1581331127477397;False;True;3,0;1,0;0,0;1,0;0,0
9;BW 06;0,0;-9,052;5,32;45,0;1,2519615854307846;1,0173561435399823;False;True;3,0;1,0;0,0;1,0;0,0
10;BW 05;0,0;-21,615;8,01;45,0;1,2395939204341697;1,1043510152978688;False;True;3,0;1,0;0,0;1,0;0,0
11;BW 05;0,0;-6,751;6,05;45,01;1,2485882461515894;0,9158038048046946;False;True;3,0;1,0;0,0;1,0;0,0
12;BW 05;0,0;-7,775;6,1;45,01;1,248357670753373;1,0365053304182785;False;True;3,0;1,0;0,0;1,0;0,0
13;BW 05;0,0;-22,472;8,15;45,0;1,2389548573101472;1,0840855445485824;False;True;3,0;1,0;0,0;1,0;0,0
14;BW 06;0,0;-9,23;5,27;45,0;1,2521931156774215;1,1785941182896624;False;True;3,0;1,0;0,0;1,0;0,0
15;BW 05;0,0;-6,781;5,82;45,01;1,2496496733665512;1,1173958204007595;False;True;3,0;1,0;0,0;1,0;0,0
16;BW 05;0,0;-19,144;7,99;45,0;1,2396852511636052;0,833303503172987;False;True;3,0;1,0;0,0;1,0;0,0
17;BW 05;0,0;-7,382;5,58;45,0;1,2507586244441842;1,1479350695445942;False;True;3,0;1,0;0,0;1,0;0,0
18;BW 08;0,0;-5,178;4,48;45,0;1,2558595935286965;1,149493494141387;False;True;3,0;1,0;0,0;1,0;0,0
19;BW 08;0,0;-5,025;4,5;45,0;1,255766577020504;0,8671403491393931;False;True;3,0;1,0;0,0;1,0;0,0
20;BW 08;0,0;-3,82;4,5;45,0;1,255766577020504;0,9780536496107107;False;True;3,0;1,0;0,0;1,0;0,0
21;BW 06;0,0;-9,363;5,24;45,0;1,2523320636010107;1,00738265844498;False;True;3,0;1,0;0,0;1,0;0,0
22;BW 06;0,0;-12,35;5,13;45,0;1,2528417307714266;1,037744878570162;False;True;3,0;1,0;0,0;1,0;0,0
23;BW 08;0,0;-3,776;4,46;45,0;1,2559526202147235;1,230190077836457;False;True;3,0;1,0;0,0;1,0;0,0
24;BW 08;0,0;-3,756;4,41;45,0;1,256185231498971;1,1697611335564455;False;True;3,0;1,0;0,0;1,0;0,0
25;BW 06;0,0;-20,963;5,04;45,0;1,2532589555083724;1,2293099779116137;False;True;3,0;1,0;0,0;1,0;0,0
26;BW 05;0,0;-9,205;5,81;45,0;1,2496958515532377;1,0066753008156741;False;True;3,0;1,0;0,0;1,0;0,0
27;BW 08;0,0;-3,781;6,85;45,0;1,2449062256745;1,0456030851575147;False;True;3,0;1,0;0,0;1,0;0,0
28;BW 07;0,01;-17,669;5,26;45,02;1,252239429169048;1,0577257102515123;False;True;3,0;1,0;0,0;1,0;0,0
29;BW 06;0,0;-20,149;5,09;45,0;1,253027139022966;1,1385529678674762;False;True;3,0;1,0;0,0;1,0;0,0
30;BW 08;0,0;-3,713;6,38;45,0;1,2470675611313424;1,247401656419103;False;True;3,0;1,0;0,0;1,0;0,0
31;BW 06;0,0;-19,899;5,22;45,0;1,252424707969925;1,0678519489847915;False;True;3,0;1,0;0,0;1,0;0,0
32;BW 05;0,0;-22,043;7,8;45,0;1,2405533439574894;1,1347622902861996;False;True;3,0;1,0;0,0;1,0;0,0
33;BW 08;0,0;-3,722;6,43;45,0;1,2468373822323617;1,207088617588782;False;True;3,0;1,0;0,0;1,0;0,0
34;BW 09;0,0;-8,09;5,39;45,01;1,2516375471316807;1,1884917517001807;False;True;3,0;1,0;0,0;1,0;0,0
35;BW 07;0,0;-9,881;5,33;45,02;1,2519152868181433;1,249015908000925;False;True;3,0;1,0;0,0;1,0;0,0
