;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 07;3,034363436811808;-3,6901428571428574;7;-0,011883852130737428;;;;
1;8;BW 07;3,5284390775761407;49,05524999999999;20;0,10047418065033692;122,396;-25,925;33,962480761555675;7,594241566736732
2;9;BW 07;4,025181809205688;151,33481249999997;80;0,20878494943110695;301,565;-3,385;52,009409859602755;5,814828795785977
3;10;BW 07;4,499960726572616;286,72618269230765;104;0,2831118398099116;432,547;109,463;56,26904217487447;5,517633539631929
4;11;BW 07;4,99066699704258;437,97061764705865;102;0,31701955209732396;622,424;227,064;67,30208035410067;6,663898949983148
5;12;BW 07;5,499640481626579;631,7550338983051;118;0,3417139122662141;865,806;409,727;82,73071331882174;7,615979480193006
6;13;BW 07;5,9831504053378755;862,6934622641511;106;0,36239616696612814;1164,08;610,53;102,79290920145421;9,98412994579464
7;14;BW 07;6,48009611539766;1141,7267934782606;92;0,3775154239255852;1542,674;798,343;127,45041878022175;13,28762469664337
8;15;BW 07;6,977763212540711;1497,945049180328;61;0,3967016879288874;1914,168;1095,946;151,84223641637533;19,441406192785852
9;16;BW 07;7,485065125747008;1879,9231304347827;46;0,4033389756428134;2403,742;1532,186;164,5466098861846;24,261074040275794
10;17;BW 07;8,00534487271377;2382,1480377358494;53;0,41777789579790886;3046,79;1766,288;214,74483685441393;29,497471895391516
11;18;BW 07;8,511400441174686;2933,3564029850736;67;0,42803433950320346;3469,502;2414,013;233,02188075703305;28,468153694947937
12;19;BW 07;8,990052788212267;3468,036626865673;67;0,4294511793036502;4237,289;2829,98;273,1030775502528;33,36485123631132
13;20;BW 07;9,46431301662973;4095,395350877193;57;0,4346557170932281;4962,63;3174,789;308,1964942636237;40,821622898618074
14;21;BW 07;10,030327563360215;4856,377906249999;32;0,43299609130451155;5632,157;3818,851;344,3534946602071;60,8736727998795
15;22;BW 07;10,506901326198324;5507,8026176470585;34;0,4272393609600943;5986,521;4664,382;305,8250915683154;52,448570505044295
16;23;BW 07;11,017038842421108;6028,558958333332;24;0,4056352798823966;6366,674;5419,276;246,44141570543044;50,30464333061809
17;24;BW 07;11,4568251100863;6309,002608695652;23;0,37747196848657577;6380,813;5814,238;120,6469914531047;25,156636730593036
18;25;BW 07;11,94589729900711;6324,844375;8;0,3338184709726274;6382,599;5888,931;91,23357186719913;32,255938669583365
19;26;BW 07;12,441348141798247;6374,316777777778;9;0,29781609388224184;6384,894;6323,487;13,258177341790056;4,419392447263352
20;27;BW 07;12,892758208418885;6367,048666666667;3;0,2673114152630547;6382,006;6345,966;11,547454342050614;6,666925872837835
21;28;BW 07;13,40317942362517;6358,0844;5;0,23758534265075876;6385,729;6305,485;20,454026674296205;9,147318811464052
