;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1510032673895676;-7,117176470588236;17;-0,02046812325209889;22,858;-53,401;22,004146530356767;5,336789432131136
1;8;BW 05;3,5373563034991866;49,78925862068967;58;0,10120829044061344;163,378;-5,12;33,87896629337118;4,448526212957346
2;9;BW 05;4,002695495903422;145,63581132075473;106;0,20432775895021335;292,741;40,293;52,62583543417637;5,111472995195546
3;10;BW 05;4,512789330964457;283,82345859872606;157;0,27786251208761675;399,625;134,439;54,90508415736017;4,381902755658018
4;11;BW 05;5,007622035247492;450,7513684210525;171;0,32296783938446844;662,339;227,064;70,70218576843334;5,4067312781059735
5;12;BW 05;5,482437391145359;619,0142840909092;176;0,3379842619621084;875,116;357,112;94,19439080005303;7,100169355451829
6;13;BW 05;5,997806741409868;885,1963954802261;177;0,3691297788408984;1104,415;636,479;102,03608225325347;7,66950159386279
7;14;BW 05;6,5072078879887245;1174,9313313609468;169;0,38365891147394876;1610,971;819,162;139,1407092611187;10,703131481624515
8;15;BW 05;6,983557528010695;1513,6130305343509;131;0,39985410818118033;1924,119;1145,246;151,48447336826501;13,23525989030141
9;16;BW 05;7,501714009116798;1932,1179763779523;127;0,4117835381522529;2643,705;1453,436;216,3718957095489;19,199901011257275
10;17;BW 05;8,00613648048707;2419,5548245614036;171;0,4242123903456972;3149,351;1766,288;251,25142387778828;19,213676598315462
11;18;BW 05;8,483198061430372;2926,5340223880607;134;0,43131206490534385;3551,895;2214,574;280,2322062704606;24,208375482805376
12;19;BW 05;8,996871698101955;3523,374772357724;123;0,43531247045570115;4199,974;2945,532;260,0708944700893;23,449802840447774
13;20;BW 05;9,492990288216136;4129,757796747968;123;0,4343424950280043;4962,63;3449,269;321,4718779022503;28,986143070397542
14;21;BW 05;9,982923304820604;4866,308196078432;102;0,44009177945962286;5632,157;4110,912;332,85780620880666;32,957833897825594
15;22;BW 05;10,509978925802947;5437,875682352941;85;0,4214446924983227;6077,053;4806,631;280,1158581476437;30,38283067511705
16;23;BW 05;11,002356133518203;5993,6524;75;0,40490329123605334;6376,479;5114,503;238,7556752235633;27,56913067217502
17;24;BW 05;11,486472490568028;6287,218625;80;0,3732633775824192;6381,986;5918,446;115,33804152158477;12,895185061697841
18;25;BW 05;12,01185826477616;6363,946474576271;59;0,3303792559839274;6382,557;6260,42;26,997190953719123;3,5147348898060424
19;26;BW 05;12,470367860374777;6365,987771428571;70;0,2953553590607927;6384,894;6308,332;15,93638482013431;1,9047623066386872
20;27;BW 05;12,898521447696023;6366,666000000001;27;0,2669372157478542;6381,882;6346,645;12,701138322698077;2,444335209874802
21;28;BW 05;13,445911904098493;6354,824130434782;23;0,23520665261568285;6383,789;6306,047;17,999429499303584;3,7531404954089136
22;29;BW 05;13,966774189256956;6352,20455;20;0,20977464232936446;6377,463;6341,063;12,052753537655981;2,6950776226249844
23;30;BW 05;14,465455326521692;6352,484133333334;15;0,1888270087621499;6378,305;6336,323;11,2085359300511;2,894031532830358
24;31;BW 05;15,071841920124491;6353,3200625;16;0,16696236695564662;6381,957;6335,877;16,38135485430023;4,095338713575058
25;32;BW 05;15,506766231132307;6352,9508125;16;0,15329522354028577;6379,128;6335,641;15,581476858624143;3,8953692146560357
26;33;BW 05;16,017023759385243;6354,357076923076;13;0,13913711890450564;6380,127;6341,19;14,524417483795895;4,028348614159366
27;34;BW 05;16,506113065959777;6348,589833333334;6;0,12701636271358083;6372,466;6342,632;11,735724867543087;4,791089614528711
28;35;BW 05;16,954622190646603;6356,91075;4;0,11735419371912213;6379,696;6344,898;15,618348384192203;7,809174192096101
29;38;BW 05;18,585836339544496;6345,633714285715;7;0,08892943311442379;6347,101;6343,238;1,1953020140371002;0,4517816958224005
30;39;BW 05;19,03083431120226;6350,524666666667;3;0,0828997025879085;6359,27;6345,698;7,587276015365101;4,380515849887033
31;40;BW 05;19,456079822443208;6353,711499999999;4;0,07762083721535624;6381,305;6341,324;18,54239197982093;9,271195989910465
32;41;BW 05;19,976825833432788;6357,509999999999;3;0,07175042070690989;6379,9;6345,779;19,3977156129267;11,199276330787036
