;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1934947973892873;-11,92175;4;-0,05284244511355201;5,803;-37,47;18,237717042345697;9,118858521172848
1;8;BW 05;3,5272583118610705;60,806200000000004;5;0,20002192404282623;136,08;10,988;47,49359151717209;21,239779825600834
2;9;BW 05;4,096153725013941;187,351125;8;0,3935220735058449;239,683;107,967;50,342665465040696;17,798820066668046
3;10;BW 05;4,452850529116343;289,2042272727273;22;0,47285917325985943;404,184;188,087;50,92062920526585;10,856314623841095
4;11;BW 05;5,0444319618997495;502,60665;20;0,5652400910911728;618,209;406,192;70,76878850265993;15,824382177725315
5;12;BW 05;5,492950964278925;670,6367037037038;27;0,5841329244456402;852,351;525,173;72,66330821769404;13,984060186564799
6;13;BW 05;6,008641948130503;937,9939545454546;44;0,6241839491554416;1190,847;716,321;112,99144631918034;17,034101452741133
7;14;BW 05;6,50040929456601;1191,7486086956517;46;0,6263312477623844;1514,563;932,045;124,96508132780815;18,425096042027842
8;15;BW 05;7,008170031194538;1616,211902439025;41;0,6778380500126716;1909,909;1263,138;160,45547019746704;25,058934396343545
9;16;BW 05;7,522122001204593;2019,8070000000002;73;0,685062645940138;2481,987;1686,485;174,6241806804133;20,438214435019955
10;17;BW 05;8,014355274996275;2495,257781609195;87;0,6997633295901748;2934,692;2037,501;213,95590800619192;22,938481087604046
11;18;BW 05;8,459770953974244;2978,9071249999997;64;0,7102687092241071;3447,573;2600,653;191,85858804466397;23,982323505582997
12;19;BW 05;8,998088852282375;3546,7814487179494;78;0,7027892822860738;4257,164;2839,876;246,1979894347862;27,87643292895822
13;20;BW 05;9,548166832383263;4270,871649122808;57;0,7082687123322504;4879,962;3402,969;297,831022022585;39,44868256066655
14;21;BW 05;9,997605543900503;4891,615519999998;50;0,7066524269078703;5701,306;4130,058;368,5056195370395;52,1145644959981
15;22;BW 05;10,506684856667912;5631,657660000001;50;0,7009397064866816;6187,79;4853,846;326,8614945369415;46,225195859168196
16;23;BW 05;10,973784258140286;6123,210749999999;60;0,6688850470137288;6380,474;5261,605;250,5146288085228;32,341299511891386
17;24;BW 05;11,475315732159357;6326,620653846154;26;0,6043929608403392;6381,491;6009,52;95,44189376199196;18,71769533487102
18;25;BW 05;11,97846984299959;6379,904904761905;21;0,5358604536694784;6382,236;6377,065;1,097846842904668;0,23956982186090162
19;26;BW 05;12,448747380586004;6380,337666666666;6;0,47742838396076137;6381,624;6378,856;1,0060068919573335;0,4107005938364456
20;27;BW 05;12,994816956817395;6381,024125000001;8;0,41977968824521394;6383,963;6379,452;1,4105497851647548;0,4987046591456129
21;28;BW 05;13,547630061014788;6380,357666666667;3;0,37042182849623656;6381,168;6378,849;1,3077432214820968;0,755025900953597
22;8;BW 06;3,39072082337196;47,6524;5;0,176461599683457;68,379;14,739;25,156516368527658;11,250336135422799
23;9;BW 06;3,987656696193628;174,40690909090907;11;0,3970561548627122;273,37;96,257;67,51475089260798;20,356463320463
24;10;BW 06;4,484324134080307;292,7505909090909;22;0,4686496793290515;373,59;165,097;53,03646603060154;11,307412550694247
