;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1249088357467794;-8,4176;10;-0,024819502853379548;29,266;-53,401;19,64477240265848;6,212222490801921
1;8;BW 05;3,5307358582572723;51,223925925925926;27;0,10471141432630475;122,396;-25,925;33,962480761555675;6,536082470010552
2;9;BW 05;4,0100769359209485;142,90019999999996;50;0,19938458172070378;301,565;-3,385;52,009409859602755;7,355241279447118
3;10;BW 05;4,506566613493191;280,80165384615384;104;0,27604451759608256;432,547;109,463;56,26904217487447;5,517633539631929
4;11;BW 05;5,024880361592527;452,07737623762364;101;0,3205918262173185;622,424;227,064;67,30208035410067;6,696807293083124
5;12;BW 05;5,493331167284588;623,1253846153846;117;0,338208835613676;865,806;409,727;82,73071331882174;7,648457151967266
6;13;BW 05;5,9930811958886725;876,9245409836064;122;0,36654608797256577;1164,08;610,53;102,79290920145421;9,306432722434524
7;14;BW 05;6,486954030562533;1165,7585339805826;103;0,3842403702412803;1542,674;798,343;127,45041878022175;12,558062913845278
8;15;BW 05;6,976585340149886;1512,4757966101693;59;0,40075278593422214;1914,168;1095,946;151,84223641637533;19,768175399940702
9;16;BW 05;7,466735348226061;1870,0761395348834;43;0,40418841691092405;2403,742;1532,186;164,5466098861846;25,093122760719986
10;17;BW 05;8,03564061058964;2450,064185185185;54;0,4248472356394557;3046,79;1766,288;214,74483685441393;29,22307084391855
11;18;BW 05;8,480897014921554;2899,751888888888;54;0,42771287260299623;3469,502;2414,013;233,02188075703305;31,710261486577625
12;19;BW 05;9,022396802734262;3539,589433333333;60;0,433614672836269;4237,289;2829,98;273,1030775502528;35,257455705004055
13;20;BW 05;9,493854332491264;4153,906901639342;61;0,4367630768579792;4962,63;3174,789;308,1964942636237;39,46051753177105
14;21;BW 05;9,976704127236786;4792,195886792452;53;0,4342003141334788;5632,157;3818,851;344,3534946602071;47,300590224227925
15;22;BW 05;10,520204144111982;5446,0621875;32;0,4208496242578609;5986,521;4664,382;305,8250915683154;54,06274902623816
16;23;BW 05;10,988253642724196;5985,645760000001;25;0,40592129330347143;6366,674;5419,276;246,44141570543044;49,28828314108609
17;24;BW 05;11,443700205163072;6265,5678181818175;33;0,3761645536098082;6380,813;5814,238;120,6469914531047;21,00194547026358
18;25;BW 05;12,038997985713191;6367,566428571428;7;0,32833660910638107;6382,599;5888,931;91,23357186719913;34,48304891153538
19;26;BW 05;12,490976771887114;6365,4782;10;0,2938723207089956;6384,894;6323,487;13,258177341790056;4,1926038022493275
20;27;BW 05;12,805414236698496;6364,6982499999995;4;0,2727179808551178;6382,006;6345,966;11,547454342050614;5,773727171025307
21;28;BW 05;13,404920969617313;6370,9963333333335;3;0,2379750524301806;6385,729;6305,485;20,454026674296205;11,8091378064167
