;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 09;3,1041348712066426;-14,621875;8;-0,04398434902753069;;;;
1;8;BW 09;3,5397481909666886;33,018702702702704;37;0,06698225283451414;110,476;-25,925;34,95341450564742;5,746305947592822
2;9;BW 09;4,03952350278309;137,02910843373493;83;0,18704205436070892;267,241;11,851;48,81484304304754;5,358125123132997
3;10;BW 09;4,519915820318296;268,637074468085;94;0,2617530551442644;409,676;155,665;54,84782437814557;5,657121137469033
4;11;BW 09;4,994512040971061;434,20452941176455;102;0,3135681947782689;603,854;271,632;66,92414069198435;6,626477347199358
5;12;BW 09;5,5236443692177914;644,0348173076925;104;0,3438341964482157;862,107;454,275;80,54679992170077;7,89826354919627
6;13;BW 09;6,01225888514088;874,5468760330577;121;0,3620653162842161;1130,643;672,291;107,12909192718304;9,73900835701664
7;14;BW 09;6,472487197883214;1137,760486842105;76;0,3775322849145883;1458,082;898,224;120,78636773361399;13,855146597583296
8;15;BW 09;6,958247304996216;1424,096923076923;65;0,3803267021311658;1914,168;1160,491;146,81550705363475;18,21022245097765
9;16;BW 09;7,505988849276116;1860,2328727272725;55;0,39578599240590245;2252,867;1542,467;176,1993918006755;23,758721143624467
10;17;BW 09;7,987649609571411;2289,6677111111107;45;0,4042334913235681;2658,425;1964,432;198,11211891727334;29,53281100436968
11;18;BW 09;8,502311451504616;2816,55772;50;0,4123105772958544;3300,837;2446,056;215,9438323945996;30,539069648326528
12;19;BW 09;8,994011643647536;3382,787436619718;71;0,41834176298593573;4237,289;2901,677;306,34983150102545;36,35703610161945
13;20;BW 09;9,50490745162348;4016,220479166666;48;0,42081452184299667;4785,193;3174,789;304,37768158556526;43,93313409968508
14;21;BW 09;9,99527236473618;4631,977210526316;38;0,41734898834604317;5285,596;4163,678;295,81817780788276;47,98804520030735
15;22;BW 09;10,550151430734228;5441,231485714284;35;0,41690583379357704;5938,81;4892,938;280,9545808643613;47,4899918805964
16;23;BW 09;11,002346248106644;5997,601559999998;25;0,40517117024094607;6364,003;5419,276;283,6393767825439;56,727875356508775
17;24;BW 09;11,520446432990243;6298,4617727272735;22;0,37063243322556366;6380,527;5904,941;112,21537930457532;23,924399253852
18;25;BW 09;12,01679567926952;6377,4203;10;0,3306708095935134;6382,599;6370,355;4,081428917807282;1,290661148834717
19;26;BW 09;12,493125847932983;6366,8526;10;0,2937841090434117;6382,474;6346,838;13,603982278076652;4,301956924728833
20;27;BW 09;13,006148099705449;6372,68725;4;0,26061137649912275;6379,691;6358,015;9,940141862669407;4,970070931334703
21;28;BW 09;13,455692911842355;6379,842666666666;3;0,2356180825257667;6385,729;6375,811;5,212631037521715;3,0095139326993605
