;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;5;R01;2,096484667224937;-17,36691666666667;12;0,0;-15,704;-19,677;1,2683411111536294;0,3661385409744085
1;6;R01;2,412827324083938;-5,22809090909091;11;0,0;25,713;-19,308;17,563688333915206;5,2956512853035544
2;7;R01;3,039408855224265;55,440894736842104;19;0,0;93,104;19,022;21,47763335528055;4,927307018004543
3;8;R01;3,460703298295717;113,78765217391306;23;0,0;188,018;67,623;31,95332860255108;6,662729590734107
4;9;R01;4,030960961453983;210,2011666666667;12;0,0;256,72;127,882;40,44089340986273;11,674280348226606
5;10;R01;4,530645163607448;310,2473181818181;22;0,0;401,686;227,033;49,40343693498638;10,53284814496832
6;11;R01;5,051775834764439;421,2015294117648;17;0,0;513,16;277,224;60,17361160749539;14,594244501917435
7;12;R01;5,538026647040582;481,51593333333335;30;0,0;737,729;14,99;201,75953651928864;36,83608311446724
8;13;R01;6,026296832266217;687,1940000000001;40;0,0;1003,426;162,61;211,14285550503598;33,384616753386766
9;14;R01;6,500972148259287;834,4149268292682;41;0,0;1170,002;56,948;305,8508013634582;47,76587022557607
10;15;R01;7,035149802954673;1064,4773424657535;73;0,0;1472,69;-2,882;405,3413773368558;47,441619809565246
11;16;R01;7,511819113547028;1223,4152427184467;103;0,0;1953,754;-5,671;495,12312064799113;48,78593070705374
12;17;R01;7,963316060880284;1511,5454935064934;77;0,0;2207,125;-5,137;561,6255871048654;64,00317566095306
13;18;R01;8,462069720113528;1819,24525;72;0,0;2777,803;-8,081;656,9978105189307;77,42793450710839
14;19;R01;8,964093721966565;2145,0903384615385;65;0,0;2806,371;-10,101;589,7905365127858;73,15451265959025
15;20;R01;9,503734818700611;2174,2739397590367;83;0,0;2810,058;-25,11;958,7791742820069;105,23968655859083
16;21;R01;10,023466772631282;2279,8065625000004;96;0,0;2811,944;-25,04;1015,0576742256761;103,59889005621427
17;22;R01;10,500180952851915;2135,409080357143;112;0,0;2811,971;-12,573;1167,5156102629155;110,31985559076729
18;23;R01;11,019578012986328;1774,6168848920859;139;0,0;2811,598;-47,268;1312,1958219046205;111,29899697118098
19;24;R01;11,495887729970741;1529,8724755244762;143;0,0;2812,64;-47,631;1331,4698991747086;111,34310647497968
20;25;R01;12,011316256437425;1173,3656940298508;134;0,0;2811,225;-47,092;1306,2328605187558;112,8413324658974
21;26;R01;12,487945224327214;1402,702389221557;167;0,0;2812,801;-46,983;1297,8773508906434;100,43276470990398
22;27;R01;13,000235374465428;1144,5946068965518;145;0,0;2811,1;-44,674;1228,9705210831346;102,06044664944976
23;28;R01;13,530862661315162;1136,1149261744974;149;0,0;2811,503;-14,739;1249,6289442099055;102,37359199012619
24;29;R01;14,001944941050493;1146,5222774193544;155;0,0;2810,637;-25,212;1275,9906559273784;102,49003583398482
25;30;R01;14,498571555445409;949,0653333333337;180;0,0;2811,474;-21,082;1242,707984181572;92,62598429372429
26;31;R01;14,999008620495584;719,7065053191486;188;0,0;2811,259;-20,887;1097,276993030589;80,02714962962108
27;32;R01;15,501733618643044;749,3621146496815;157;0,0;2810,063;-26,5;1099,3694204958513;87,73923156825091
28;33;R01;15,996585294351625;763,3183011363635;176;0,0;2809,792;-21,88;1086,167115121749;81,87292682912728
29;34;R01;16,48386019086157;617,4792146596859;191;0,0;2809,182;-31,106;1003,6935638144432;72,62471742715798
30;35;R01;16,988530452790982;436,0182697368423;152;0,0;2808,491;-33,692;802,2847769703208;65,07388833585115
31;36;R01;17,519431300478647;317,7332923076923;130;0,0;2808,853;-35,951;728,5177052822692;63,89522956249691
32;37;R01;17,994877390578296;324,32985964912274;114;0,0;2808,477;-36,754;688,864509729539;64,5180725914866
33;38;R01;18,514971254267408;266,4293826086956;115;0,0;2808,071;-36,098;686,5186369747562;64,01819299255466
34;39;R01;19,003359228402395;136,45942268041233;97;0,0;2807,231;-35,042;513,5191146759785;52,13996638090659
35;40;R01;19,51755138533196;440,096125;88;0,0;2808,406;-34,694;973,8030124031237;103,80774991679868
36;41;R01;19,98224871688266;526,8052150537633;93;0,0;2808,214;-34,147;1086,6607512517103;112,6814707607498
37;42;R01;20,49700025393256;445,7503975903612;83;0,0;2807,785;-35,32;1023,6807778543971;112,36356304685849
38;43;R01;20,949963208535756;836,1744509803923;51;0,0;2808,041;-34,377;1284,5583875816515;179,87415269017197
39;44;R01;21,484368689541526;669,6375789473685;38;0,0;2806,582;-36,371;1134,985755934971;184,1190022909438
40;45;R01;21,99069569454333;972,5455862068966;29;0,0;2806,546;-37,286;1270,918896136726;236,0037142137148
41;46;R01;22,485347920477373;718,0079523809525;21;0,0;2804,74;0,448;1057,117617205459;230,6819761578747
42;47;R01;23,032618866825825;555,8972000000001;20;0,0;2806,694;14,526;910,3454733268545;203,55943613680682
43;48;R01;23,408011114855956;1028,4097142857142;14;0,0;2805,149;14,862;1199,095177566461;320,4716663276114
44;49;R01;23,983982431269677;837,6320625;16;0,0;2803,638;15,582;1168,638075507866;292,1595188769665
45;50;R01;24,52280538431477;288,61927272727274;11;0,0;931,075;16,442;299,13774485781323;90,19342366603927
46;51;R01;24,88485358153013;329,5822;5;0,0;648,254;-4,531;272,9848271950293;122,08252608682375
47;52;R01;25,469311714990937;115,02080000000001;5;0,0;468,653;0,505;198,68387116900053;88,85412839333915
48;53;R01;25,950968893708378;515,284;3;0,0;559,918;450,775;57,2215897280039;33,036900232921376
49;8;R02;3,622269366977482;56,72247619047619;21;0,0;97,023;20,549;18,745138310023343;4,09052453419517
50;9;R02;3,9469938718403625;111,28794736842103;19;0,0;174,873;49,376;36,096120281630895;8,28101792429042
51;10;R02;4,513673614510251;256,49194444444447;18;0,0;358,37;180,247;46,46797045843668;10,952605673045582
52;11;R02;5,046523604027641;372,8715526315789;38;0,0;499,369;147,877;75,18204612398527;12,196138365751429
53;12;R02;5,586523543259507;533,1092068965517;29;0,0;701,171;99,802;136,16468940807863;25,285148047406395
54;13;R02;5,991784080839715;680,6953953488373;43;0,0;958,07;129,59;158,9788681021923;24,244050098680056
55;14;R02;6,483737096602617;812,9337462686565;67;0,0;1215,754;-10,663;347,8006927438491;42,490617379254076
56;15;R02;7,0331831638374815;1084,3745555555558;99;0,0;1648,038;-16,174;460,07020746650153;46,238795617798516
57;16;R02;7,497696706377955;1222,291532110092;109;0,0;1915,786;-3,643;547,7115595284479;52,461252843581676
58;17;R02;8,007030401497369;1714,8188000000005;110;0,0;2598,264;30,571;508,11755236094814;48,447107711520246
59;18;R02;8,469955453072012;1888,7082238805963;67;0,0;3008,762;-3,748;731,3546451892984;89,34919063017934
60;19;R02;8,992477033025356;1851,6218205128202;78;0,0;3582,302;-3,62;1116,4136014962078;126,40894815808126
61;20;R02;9,528999484709793;2127,185191780822;73;0,0;3606,975;-40,457;1230,1924131580624;143,98313130799588
62;21;R02;10,020767096886788;1780,2534752475253;101;0,0;3606,163;-40,685;1546,4646191472377;153,87898093954286
63;22;R02;10,488426368861905;2048,9484076923072;130;0,0;3711,906;-16,857;1582,0714461216467;138,7568448937659
64;23;R02;10,997665979184932;1994,6471887755094;196;0,0;3787,28;-38,551;1653,8656652932168;118,13326180665834
65;24;R02;11,521100349630533;1632,8979803921568;204;0,0;3788,931;-43,44;1680,2262072668568;117,63936473488492
