;BIN;Identifier;V;P;n;cp;P max;P min;P std;P std/sqrt(n)
0;7;BW 05;3,1934947973892873;-11,92175;4;0,0;5,803;-37,47;18,237717042345693;9,118858521172847
1;8;BW 05;3,5272583118610705;60,806200000000004;5;0,0;136,08;10,988;47,49359151717209;21,239779825600834
2;9;BW 05;4,096153725013941;187,35112500000002;8;0,0;239,683;107,967;50,342665465040696;17,798820066668046
3;10;BW 05;4,452850529116344;289,2042272727272;22;0,0;404,184;188,087;50,92062920526587;10,8563146238411
4;11;BW 05;5,0444319618997495;502,60665;20;0,0;618,209;406,192;70,76878850265992;15,824382177725312
5;12;BW 05;5,492950964278924;670,6367037037038;27;0,0;852,351;525,173;72,66330821769407;13,984060186564804
6;13;BW 05;6,008641948130504;937,9939545454546;44;0,0;1190,847;716,321;112,99144631918034;17,034101452741133
7;14;BW 05;6,500409294566009;1191,748608695652;46;0,0;1514,563;932,045;124,9650813278081;18,425096042027835
8;15;BW 05;7,00817003119454;1616,211902439024;41;0,0;1909,909;1263,138;160,45547019746706;25,05893439634355
9;16;BW 05;7,522122001204593;2019,8069999999998;73;0,0;2481,987;1686,485;174,62418068041308;20,438214435019926
10;17;BW 05;8,014355274996275;2495,257781609196;87;0,0;2934,692;2037,501;213,95590800619212;22,938481087604067
11;18;BW 05;8,459770953974246;2978,9071249999993;64;0,0;3447,573;2600,653;191,85858804466395;23,982323505582993
12;19;BW 05;8,998088852282375;3546,7814487179476;78;0,0;4257,164;2839,876;246,1979894347861;27,87643292895821
13;20;BW 05;9,548166832383263;4270,871649122807;57;0,0;4879,962;3402,969;297,8310220225851;39,44868256066656
14;21;BW 05;9,997605543900503;4891,6155199999985;50;0,0;5701,306;4130,058;368,5056195370392;52,11456449599806
15;22;BW 05;10,506684856667908;5631,657660000002;50;0,0;6187,79;4853,846;326,8614945369406;46,22519585916807
16;23;BW 05;10,973784258140292;6123,2107499999975;60;0,0;6380,474;5261,605;250,51462880852264;32,341299511891364
17;24;BW 05;11,475315732159357;6326,620653846152;26;0,0;6381,491;6009,52;95,44189376199213;18,717695334871053
18;25;BW 05;11,978469842999589;6379,904904761905;21;0,0;6382,236;6377,065;1,0978468429051063;0,23956982186099726
19;26;BW 05;12,448747380586004;6380,337666666666;6;0,0;6381,624;6378,856;1,0060068919573335;0,4107005938364456
20;27;BW 05;12,994816956817395;6381,024125;8;0,0;6383,963;6379,452;1,4105497851647961;0,4987046591456275
21;28;BW 05;13,547630061014788;6380,357666666667;3;0,0;6381,168;6378,849;1,3077432214820968;0,755025900953597
22;8;BW 06;3,39072082337196;47,6524;5;0,0;68,379;14,739;25,156516368527658;11,250336135422799
23;9;BW 06;3,9876566961936266;174,40690909090907;11;0,0;273,37;96,257;67,51475089260796;20,356463320462993
24;10;BW 06;4,484324134080307;292,75059090909093;22;0,0;373,59;165,097;53,03646603060154;11,307412550694247
25;11;BW 06;5,009904500382604;481,33554545454547;33;0,0;624,769;333,25;65,55898507503134;11,412354448696036
26;12;BW 06;5,527757839660318;682,2021666666666;30;0,0;843,66;528,963;89,94306875945375;16,421282550263673
27;13;BW 06;6,029262250259534;899,7768974358972;39;0,0;1082,403;706,915;86,70250951986242;13,88351277968356
28;14;BW 06;6,533137513306399;1187,546574468085;47;0,0;1462,605;963,011;132,53077626491213;19,331600553090773
29;15;BW 06;7,022135172956459;1512,9752666666664;45;0,0;1901,658;1087,441;192,18236107008545;28,648854895274685
30;16;BW 06;7,5125834054859935;1891,7252368421055;38;0,0;2212,167;1613,227;183,82028086273803;29,819587194209277
31;17;BW 06;7,9737599169502635;2265,4823098591555;71;0,0;2743,946;1802,773;212,68514219243633;25,241082572433506
32;18;BW 06;8,518650221622964;2775,2005512820506;78;0,0;3413,392;2175,142;238,58491887608398;27,01442243366413
33;19;BW 06;8,980156532145863;3287,5522153846173;65;0,0;3937,647;2664,836;290,2838298496884;36,00527779094505
34;20;BW 06;9,506155783212305;3866,440962962964;54;0,0;4831,8;3286,331;325,525817188244;44,29845278965087
35;21;BW 06;9,975290905459564;4471,598607843137;51;0,0;5368,945;3677,562;374,64937855445993;52,461406328328074
36;22;BW 06;10,49153902388821;5305,591936170212;47;0,0;5991,043;4803,124;315,1920593792882;45,97548706156375
