Datum (Anlage);Zeit (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.01.21;00:00:00;2,86;0,05;-23,628;347;82,30;14,68;7,44;45,01
01.01.21;00:10:00;2,66;0,40;-22,677;15;32,21;54,98;7,50;45,01
01.01.21;00:20:00;1,49;0,00;-19,430;15;352,75;13,92;7,68;45,01
01.01.21;00:30:00;2,94;0,74;-21,343;20;54,00;95,25;7,25;39,38
01.01.21;00:40:00;2,02;3,52;-27,661;32;337,54;405,10;7,12;2,42
01.01.21;00:50:00;1,24;0,05;-21,184;332;343,52;8,51;7,46;45,00
01.01.21;01:00:00;1,30;0,00;-19,980;328;10,93;3,19;8,10;45,00
01.01.21;01:10:00;1,08;0,00;-22,472;328;11,76;0,60;8,15;45,00
01.01.21;01:20:00;1,10;0,00;-21,615;328;3,53;0,63;8,01;45,00
01.01.21;01:30:00;1,06;0,00;-21,018;328;11,63;0,64;8,17;45,00
01.01.21;01:40:00;0,88;0,00;-20,503;328;3,66;0,61;8,32;45,00
01.01.21;01:50:00;0,83;0,00;-19,144;328;353,31;0,64;7,99;45,00
01.01.21;02:00:00;0,72;0,00;-19,011;328;324,02;0,63;7,96;45,00
01.01.21;02:10:00;1,13;0,00;-22,043;328;306,59;11,64;7,80;45,00
01.01.21;02:20:00;1,66;0,04;-21,294;328;308,02;38,75;7,76;45,00
01.01.21;02:30:00;1,84;0,36;-21,244;328;316,05;50,84;7,70;45,00
01.01.21;02:40:00;2,05;0,50;-22,179;328;335,22;57,78;7,70;45,00
01.01.21;02:50:00;1,87;0,36;-21,187;328;325,29;53,84;7,73;45,00
01.01.21;03:00:00;2,16;0,13;-21,119;328;342,54;35,11;7,79;45,00
01.01.21;03:10:00;1,43;0,00;-20,601;328;2,81;12,21;7,89;45,00
01.01.21;03:20:00;1,47;0,00;-18,677;328;358,39;17,73;7,99;45,00
01.01.21;03:30:00;1,51;0,00;-18,742;328;330,66;32,20;7,89;45,00
01.01.21;03:40:00;2,70;0,80;-22,339;328;315,65;99,71;7,80;38,74
01.01.21;03:50:00;4,27;6,51;214,613;330;320,23;752,32;7,71;1,63
01.01.21;04:00:00;4,11;6,48;149,450;327;321,86;748,40;7,81;1,51
01.01.21;04:10:00;4,68;6,48;223,465;5;35,72;748,22;7,75;1,46
01.01.21;04:20:00;3,36;6,48;25,535;24;14,53;748,25;7,69;1,51
01.01.21;04:30:00;4,40;6,48;218,439;357;346,00;748,65;7,77;1,51
01.01.21;04:40:00;4,27;6,48;227,143;351;350,37;748,17;7,72;1,51
01.01.21;04:50:00;4,36;6,48;261,779;351;349,25;748,48;7,73;1,49
01.01.21;05:00:00;4,51;6,48;314,344;351;345,43;748,08;7,70;1,45
01.01.21;05:10:00;4,54;6,48;348,052;351;337,42;748,13;7,71;1,41
01.01.21;05:20:00;4,50;6,48;352,064;351;346,85;748,59;7,72;1,22
01.01.21;05:30:00;4,97;6,48;504,376;351;343,01;748,14;7,65;0,85
