Datum (Anlage);Zeit (Anlage);Identifier (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
14.01.22;00:00:00;se600214;9,97;0,00;-12,827;282;287,53;3,74;7,80;91,58
14.01.22;00:10:00;se600214;9,81;0,00;-11,148;282;291,53;4,34;7,78;91,58
14.01.22;00:20:00;se600214;8,88;0,00;-9,324;282;292,35;3,29;7,79;91,58
14.01.22;00:30:00;se600214;10,24;0,00;-12,136;282;294,48;3,55;7,80;91,58
14.01.22;00:40:00;se600214;9,40;0,00;-10,625;282;295,36;3,54;7,80;91,58
14.01.22;00:50:00;se600214;8,54;0,00;-11,402;282;294,03;3,03;7,80;91,58
14.01.22;01:00:00;se600214;10,13;0,00;-13,422;287;308,07;3,23;7,80;91,58
14.01.22;01:10:00;se600214;10,58;0,00;-9,983;298;287,38;3,88;7,80;91,58
14.01.22;01:20:00;se600214;10,36;0,00;-11,401;288;286,74;2,88;7,73;91,58
14.01.22;01:30:00;se600214;10,40;0,00;-15,603;295;275,81;4,09;7,71;91,58
14.01.22;01:40:00;se600214;9,02;0,00;-10,759;287;298,88;3,14;7,73;91,58
14.01.22;01:50:00;se600214;9,56;0,00;-10,306;287;305,82;3,01;7,77;91,58
14.01.22;02:00:00;se600214;8,94;0,00;-11,356;287;303,43;3,81;7,80;91,58
14.01.22;02:10:00;se600214;11,30;0,00;-12,823;292;314,54;4,42;7,73;91,58
14.01.22;02:20:00;se600214;10,74;0,00;-10,283;301;292,32;7,35;7,75;91,58
14.01.22;02:30:00;se600214;11,20;0,00;-12,528;301;290,05;7,35;7,72;91,58
14.01.22;02:40:00;se600214;11,51;0,00;-12,049;296;282,23;4,04;7,74;91,58
14.01.22;02:50:00;se600214;9,40;0,00;-11,941;288;299,29;4,28;7,71;91,58
14.01.22;03:00:00;se600214;10,51;0,00;-12,792;288;297,81;4,60;7,71;91,58
14.01.22;03:10:00;se600214;11,06;0,00;-9,925;288;300,14;4,72;7,61;91,58
14.01.22;03:20:00;se600214;10,16;0,00;-9,895;288;298,67;5,00;7,71;91,58
14.01.22;03:30:00;se600214;9,52;0,00;-12,973;288;302,32;3,04;7,70;91,58
14.01.22;03:40:00;se600214;9,94;0,00;-9,473;288;300,64;6,64;7,70;91,58
14.01.22;03:50:00;se600214;9,79;0,00;-11,164;288;300,09;5,52;7,70;91,58
14.01.22;04:00:00;se600214;9,75;0,00;-12,078;288;287,36;6,63;7,70;91,58
14.01.22;04:10:00;se600214;9,85;0,00;-10,400;288;276,60;4,98;7,71;91,58
14.01.22;04:20:00;se600214;9,64;0,00;-11,498;288;297,60;4,81;7,69;91,58
14.01.22;04:30:00;se600214;9,49;0,00;-12,801;288;291,47;4,81;7,65;91,58
14.01.22;04:40:00;se600214;10,36;0,00;-10,031;288;291,94;8,10;7,51;91,58
