Datum (Anlage);Zeit (Anlage);Identifier (Anlage);Wind Speed (avg);Rotor Speed [rpm] (avg);Active Power (avg);Nacelle Position (avg);Wind Direction (avg);Generator Speed [rpm] (avg);T Outside Nacelle Level (avg);Pitch Angle 1 (avg)
01.05.22;00:00:00;bw68;2,30;0,56;-22,583;305;313,27;64,90;8,51;45,02
01.05.22;00:10:00;bw68;2,64;0,60;-23,398;305;312,98;69,94;8,50;45,02
01.05.22;00:20:00;bw68;2,75;0,62;-22,569;305;312,53;72,55;8,47;45,02
01.05.22;00:30:00;bw68;3,08;0,70;-22,558;305;323,88;81,49;8,41;45,02
01.05.22;00:40:00;bw68;3,12;0,73;-23,442;305;322,86;84,90;8,39;45,02
01.05.22;00:50:00;bw68;3,08;0,70;-22,620;305;323,10;81,69;8,35;45,02
01.05.22;01:00:00;bw68;2,76;0,60;-22,613;305;326,25;69,98;8,35;45,02
01.05.22;01:10:00;bw68;2,73;0,56;-23,461;305;328,10;64,74;8,37;45,02
01.05.22;01:20:00;bw68;2,58;0,52;-22,600;305;328,22;60,13;8,34;45,02
01.05.22;01:30:00;bw68;2,59;0,52;-22,546;305;328,58;60,45;8,25;45,02
01.05.22;01:40:00;bw68;2,56;0,56;-23,406;305;321,70;65,22;8,22;45,02
01.05.22;01:50:00;bw68;2,65;0,61;-22,541;305;317,77;71,48;8,18;45,02
01.05.22;02:00:00;bw68;2,49;0,59;-22,529;305;313,14;68,44;8,21;45,02
01.05.22;02:10:00;bw68;2,35;0,54;-23,450;305;310,78;62,86;8,17;45,02
01.05.22;02:20:00;bw68;2,60;0,62;-22,553;305;300,31;72,26;8,19;45,02
01.05.22;02:30:00;bw68;2,46;0,55;-22,552;305;292,97;64,37;8,27;45,02
01.05.22;02:40:00;bw68;2,31;0,46;-23,451;305;283,99;62,01;8,29;45,02
01.05.22;02:50:00;bw68;2,66;0,48;-22,561;305;299,47;64,30;8,24;45,02
01.05.22;03:00:00;bw68;2,67;0,51;-22,343;305;293,17;67,26;8,29;45,02
01.05.22;03:10:00;bw68;2,62;0,54;-22,995;305;284,85;62,36;8,29;45,02
01.05.22;03:20:00;bw68;2,17;0,29;-22,108;305;268,46;50,49;8,38;45,02
01.05.22;03:30:00;bw68;2,09;0,27;-22,067;305;304,77;50,70;8,36;45,02
01.05.22;03:40:00;bw68;2,52;0,50;-23,031;305;316,92;63,61;8,20;45,02
01.05.22;03:50:00;bw68;1,57;0,07;-20,945;305;273,90;33,85;8,37;45,02
01.05.22;04:00:00;bw68;2,81;0,68;-20,552;305;290,35;78,41;8,17;45,02
01.05.22;04:10:00;bw68;1,95;0,12;-21,396;305;287,64;37,10;8,17;45,02
01.05.22;04:20:00;bw68;2,53;0,44;-20,471;305;302,73;60,17;8,16;45,02
01.05.22;04:30:00;bw68;2,80;0,51;-19,133;305;328,59;62,20;8,13;45,02
01.05.22;04:40:00;bw68;2,87;0,56;-20,003;298;299,83;67,73;8,10;45,02
01.05.22;04:50:00;bw68;3,03;0,62;-19,297;309;325,04;73,09;8,10;45,02
01.05.22;05:00:00;bw68;3,03;0,67;-18,531;312;307,44;78,48;7,94;45,02
01.05.22;05:10:00;bw68;2,63;0,58;-20,311;302;288,10;67,79;8,08;45,02
01.05.22;05:20:00;bw68;2,80;0,52;-18,543;301;311,87;66,68;8,03;45,02
01.05.22;05:30:00;bw68;3,09;0,59;-19,589;305;340,83;71,48;8,11;45,02
01.05.22;05:40:00;bw68;3,11;0,65;-21,554;318;293,93;75,65;8,11;45,02
01.05.22;05:50:00;bw68;2,52;0,55;-19,582;318;312,11;64,92;8,05;45,02
01.05.22;06:00:00;bw68;3,09;0,68;-19,294;308;301,09;79,20;8,01;45,02
